network_id,cluster_size
11_MVFeeder0725,326
11_MVFeeder1363,258
11_MVFeeder1365,408
11_MVFeeder2143,232
11_MVFeeder2298,151
11_MVFeeder3298,151
11_MVFeeder3385,63
11_MVFeeder4375,157
11_MVFeeder4471,335
11_MVFeeder4794,349
11_MVFeeder4885,94
24_MVFeeder0277,197
24_MVFeeder0337,149
24_MVFeeder0752,209
24_MVFeeder1097,112
24_MVFeeder1448,185
24_MVFeeder1482,78
24_MVFeeder1514,141
24_MVFeeder2211,35
27_MVFeeder0223,194
27_MVFeeder0797,216
27_MVFeeder1284,213
27_MVFeeder2091,167
27_MVFeeder2268,164
28_MVFeeder0290,185
28_MVFeeder0498,65
28_MVFeeder0548,321
28_MVFeeder0757,462
28_MVFeeder1181,181
28_MVFeeder1208,58
28_MVFeeder1269,164
28_MVFeeder1378,169
28_MVFeeder2047,161
28_MVFeeder2214,166
32_MVFeeder0100,164
32_MVFeeder0194,90
32_MVFeeder0296,173
32_MVFeeder0835,97
32_MVFeeder1005,135
32_MVFeeder1552,23
32_MVFeeder1627,74
32_MVFeeder1865,303
32_MVFeeder2374,175
32_MVFeeder2523,225
32_MVFeeder2641,220
32_MVFeeder3323,260
32_MVFeeder3389,184
44_MVFeeder0318,26
44_MVFeeder0744,141
44_MVFeeder0776,202
44_MVFeeder0849,77
44_MVFeeder0907,389
44_MVFeeder1570,57
44_MVFeeder1782,221
44_MVFeeder1963,216
44_MVFeeder2376,206
44_MVFeeder2707,56
52_MVFeeder0054,257
52_MVFeeder0192,108
52_MVFeeder0388,39
52_MVFeeder0813,211
52_MVFeeder0837,176
52_MVFeeder1118,134
52_MVFeeder1297,142
52_MVFeeder1438,179
52_MVFeeder1850,381
52_MVFeeder1990,76
53_MVFeeder0066,190
53_MVFeeder0071,119
53_MVFeeder0641,78
53_MVFeeder0756,44
53_MVFeeder0762,127
53_MVFeeder0852,126
53_MVFeeder0883,224
53_MVFeeder1070,40
53_MVFeeder1507,446
53_MVFeeder1979,77
75_MVFeeder0100,164
75_MVFeeder0153,102
75_MVFeeder0165,179
75_MVFeeder0216,49
75_MVFeeder0281,132
75_MVFeeder0423,74
75_MVFeeder0883,222
75_MVFeeder0931,126
75_MVFeeder1655,47
75_MVFeeder2242,71
75_MVFeeder2269,122
75_MVFeeder2653,147
75_MVFeeder2731,192
75_MVFeeder2888,194
75_MVFeeder3171,145
75_MVFeeder3203,46
75_MVFeeder3206,88
75_MVFeeder3319,87
75_MVFeeder3454,59
75_MVFeeder3688,155
75_MVFeeder3713,97
75_MVFeeder4071,458
75_MVFeeder4174,15
75_MVFeeder4178,72
76_MVFeeder0122,148
76_MVFeeder0236,99
76_MVFeeder0461,43
76_MVFeeder0812,167
76_MVFeeder0907,106
76_MVFeeder1654,84
76_MVFeeder1775,56
76_MVFeeder1919,120
76_MVFeeder1974,137
76_MVFeeder2015,238
76_MVFeeder2386,72
76_MVFeeder2772,193
76_MVFeeder3139,113
84_MVFeeder0001,278
84_MVFeeder0006,90
84_MVFeeder0460,73
84_MVFeeder0598,160
84_MVFeeder1052,143
84_MVFeeder1240,157
84_MVFeeder1399,240
84_MVFeeder1493,204
84_MVFeeder1751,177
84_MVFeeder2000,89
84_MVFeeder2013,130
84_MVFeeder2024,95
84_MVFeeder2394,203
84_MVFeeder2419,121
84_MVFeeder2468,130
84_MVFeeder2628,52
84_MVFeeder2809,138
84_MVFeeder2833,45
84_MVFeeder3077,72
84_MVFeeder3232,444
84_MVFeeder3686,189
84_MVFeeder3744,198
84_MVFeeder3748,67
84_MVFeeder4049,215
84_MVFeeder4101,115
93_MVFeeder0659,183
93_MVFeeder0692,160
93_MVFeeder0916,71
93_MVFeeder1111,71
93_MVFeeder1126,185
93_MVFeeder1143,178
93_MVFeeder1218,437
93_MVFeeder1230,201
93_MVFeeder1430,225
93_MVFeeder2677,170
93_MVFeeder2759,406
